document,element,frequency_in_document
1990,Acute hepatitis,3.122503944268093e-05
1990,Alcohol use disorders,2.1848123099460958e-05
1990,Alzheimer's disease and other dementias,0.00010523590840731509
1990,Cardiovascular diseases,0.0022642492623054632
1990,Chronic kidney disease,0.00011280250342420805
1990,Chronic respiratory diseases,0.0005805565714319596
1990,Cirrhosis and other chronic liver diseases,0.00019004675945292172
1990,Conflict and terrorism,2.1828600762470287e-05
1990,Diabetes mellitus,0.0001240954245141949
1990,Diarrheal diseases,0.0005434262127643801
1990,Digestive diseases,0.00034809678400769486
1990,Drowning,8.643514702618603e-05
1990,Drug use disorders,1.0536993675934718e-05
1990,Environmental heat and cold exposure,1.0337828295674146e-05
1990,Exposure to forces of nature,9.426285330032919e-06
1990,"Fire, heat, and hot substances",2.3112006704828002e-05
1990,HIV/AIDS,6.308324083410731e-05
1990,Interpersonal violence,6.992319194243413e-05
1990,Lower respiratory infections,0.0006228871926154284
1990,Malaria,0.00015773616544469235
1990,Maternal disorders,5.676851567674098e-05
1990,Meningitis,8.114027626180339e-05
1990,Neonatal disorders,0.000564004257670775
1990,Neoplasms,0.0010798472854151276
1990,Nutritional deficiencies,0.00014206404628109673
1990,Parkinson's disease,2.76233559826813e-05
1990,Poisonings,1.6509702506406827e-05
1990,Protein-energy malnutrition,0.00012313620199474955
1990,Road injuries ,0.00020888337435679327
1990,Self-harm,0.00013868442940436594
1990,Tuberculosis,0.00033351791571557663
1991,Acute hepatitis,3.052588926200747e-05
1991,Alcohol use disorders,2.2621250907767317e-05
1991,Alzheimer's disease and other dementias,0.00010770868569766844
1991,Cardiovascular diseases,0.0022570426140667925
1991,Chronic kidney disease,0.00011332770557362171
1991,Chronic respiratory diseases,0.0005814775941631391
1991,Cirrhosis and other chronic liver diseases,0.00018965923610492517
1991,Conflict and terrorism,1.5702337468162887e-05
1991,Diabetes mellitus,0.00012552524334530203
1991,Diarrheal diseases,0.0005361894723262601
1991,Digestive diseases,0.0003467703415968317
1991,Drowning,8.39214461472001e-05
1991,Drug use disorders,1.143086283807475e-05
1991,Environmental heat and cold exposure,1.046453104992146e-05
1991,Exposure to forces of nature,2.8914597495981228e-05
1991,"Fire, heat, and hot substances",2.2891461803422564e-05
1991,HIV/AIDS,7.955337527758517e-05
1991,Interpersonal violence,7.086599339922545e-05
1991,Lower respiratory infections,0.0006063475242606553
1991,Malaria,0.0001586512891274972
1991,Maternal disorders,5.508959265754393e-05
1991,Meningitis,7.916477396216574e-05
1991,Neonatal disorders,0.0005494879855928146
1991,Neoplasms,0.0010837922613285394
1991,Nutritional deficiencies,0.0001346704877050899
1991,Parkinson's disease,2.7866075790830955e-05
1991,Poisonings,1.6218748721923703e-05
1991,Protein-energy malnutrition,0.00011654585639104964
1991,Road injuries ,0.0002063103591991858
1991,Self-harm,0.00013899792535731304
1991,Tuberculosis,0.00032993969356027655
1992,Acute hepatitis,2.9767118940722856e-05
1992,Alcohol use disorders,2.3943793430939993e-05
1992,Alzheimer's disease and other dementias,0.0001101841854482661
1992,Cardiovascular diseases,0.002261894959741538
1992,Chronic kidney disease,0.00011459705212806096
1992,Chronic respiratory diseases,0.0005833538424673543
1992,Cirrhosis and other chronic liver diseases,0.0001896650680908302
1992,Conflict and terrorism,1.1286398448368426e-05
1992,Diabetes mellitus,0.00012770744516961912
1992,Diarrheal diseases,0.0005222496598877026
1992,Digestive diseases,0.0003462059942907598
1992,Drowning,8.129887605713219e-05
1992,Drug use disorders,1.2152568562761523e-05
1992,Environmental heat and cold exposure,1.0897776669141458e-05
1992,Exposure to forces of nature,2.1877023884419407e-06
1992,"Fire, heat, and hot substances",2.273082793377393e-05
1992,HIV/AIDS,9.821383449092592e-05
1992,Interpersonal violence,7.404654261980346e-05
1992,Lower respiratory infections,0.0005926240267527422
1992,Malaria,0.00015574240573545343
1992,Maternal disorders,5.442887155949068e-05
1992,Meningitis,7.754977610367258e-05
1992,Neonatal disorders,0.000536537375062492
1992,Neoplasms,0.001090413791848042
1992,Nutritional deficiencies,0.00012741847932629127
1992,Parkinson's disease,2.8166622787715578e-05
1992,Poisonings,1.608224943656384e-05
1992,Protein-energy malnutrition,0.00011020618976987886
1992,Road injuries ,0.0002046885641354149
1992,Self-harm,0.00014007951138681534
1992,Tuberculosis,0.00032874456489459964
1993,Acute hepatitis,2.900585337185828e-05
1993,Alcohol use disorders,2.578132852002655e-05
1993,Alzheimer's disease and other dementias,0.00011279405131084311
1993,Cardiovascular diseases,0.002293627925426926
1993,Chronic kidney disease,0.00011596231986733786
1993,Chronic respiratory diseases,0.0005852467816030532
1993,Cirrhosis and other chronic liver diseases,0.0001912946949686795
1993,Conflict and terrorism,1.1239255335590618e-05
1993,Diabetes mellitus,0.00013044240363079736
1993,Diarrheal diseases,0.0005014003566067929
1993,Digestive diseases,0.0003474911947727161
1993,Drowning,7.98040339399275e-05
1993,Drug use disorders,1.2828406098772497e-05
1993,Environmental heat and cold exposure,1.1970049694442802e-05
1993,Exposure to forces of nature,3.828473805911338e-06
1993,"Fire, heat, and hot substances",2.2841668348404422e-05
1993,HIV/AIDS,0.00011904530817994594
1993,Interpersonal violence,7.755091556362813e-05
1993,Lower respiratory infections,0.0005781448722171987
1993,Malaria,0.00015447477051044268
1993,Maternal disorders,5.2594977975504505e-05
1993,Meningitis,7.539705192496156e-05
1993,Neonatal disorders,0.000523951247989172
1993,Neoplasms,0.0011048931688777117
1993,Nutritional deficiencies,0.00012079319485926977
1993,Parkinson's disease,2.871023908107473e-05
1993,Poisonings,1.6130865627265346e-05
1993,Protein-energy malnutrition,0.00010461503094547906
1993,Road injuries ,0.00020378466749454888
1993,Self-harm,0.00014187766019918628
1993,Tuberculosis,0.000317957535521677
1994,Acute hepatitis,2.8150938608292065e-05
1994,Alcohol use disorders,2.716844660640691e-05
1994,Alzheimer's disease and other dementias,0.00011516134144885924
1994,Cardiovascular diseases,0.0023001841762660988
1994,Chronic kidney disease,0.00011749025715929477
1994,Chronic respiratory diseases,0.0005822363439755403
1994,Cirrhosis and other chronic liver diseases,0.0001923542406372318
1994,Conflict and terrorism,9.99588492830971e-05
1994,Diabetes mellitus,0.00013265655039256473
1994,Diarrheal diseases,0.0004838824317530353
1994,Digestive diseases,0.0003474513038924085
1994,Drowning,7.828681327027021e-05
1994,Drug use disorders,1.3546700019522543e-05
1994,Environmental heat and cold exposure,1.2767628360227557e-05
1994,Exposure to forces of nature,2.245569875624284e-06
1994,"Fire, heat, and hot substances",2.288673092313746e-05
1994,HIV/AIDS,0.00014129396884551447
1994,Interpersonal violence,7.80433092317009e-05
1994,Lower respiratory infections,0.0005628112904796057
1994,Malaria,0.00015109452080249325
1994,Maternal disorders,5.176412030349198e-05
1994,Meningitis,7.306869300648369e-05
1994,Neonatal disorders,0.0005114653119914379
1994,Neoplasms,0.0011117603321964523
1994,Nutritional deficiencies,0.00011474196357242551
1994,Parkinson's disease,2.9026423034127184e-05
1994,Poisonings,1.605060666703e-05
1994,Protein-energy malnutrition,9.959933208039434e-05
1994,Road injuries ,0.00020371028721042307
1994,Self-harm,0.00014438641716129713
1994,Tuberculosis,0.0003096882243562555
1995,Acute hepatitis,2.73619729238107e-05
1995,Alcohol use disorders,2.7282066415873402e-05
1995,Alzheimer's disease and other dementias,0.00011747736416929955
1995,Cardiovascular diseases,0.002285648538450545
1995,Chronic kidney disease,0.00011902431238178503
1995,Chronic respiratory diseases,0.0005768057368542776
1995,Cirrhosis and other chronic liver diseases,0.0001922595843917089
1995,Conflict and terrorism,1.1700471456352663e-05
1995,Diabetes mellitus,0.00013465552249329298
1995,Diarrheal diseases,0.00046538368437470154
1995,Digestive diseases,0.00034543687834245955
1995,Drowning,7.612931512092529e-05
1995,Drug use disorders,1.3924448883147862e-05
1995,Environmental heat and cold exposure,1.2644900226635556e-05
1995,Exposure to forces of nature,3.337097713834611e-06
1995,"Fire, heat, and hot substances",2.2374344487201507e-05
1995,HIV/AIDS,0.00016337137975747052
1995,Interpersonal violence,7.733800985863481e-05
1995,Lower respiratory infections,0.0005481647375387124
1995,Malaria,0.00015017305297586182
1995,Maternal disorders,5.0581515877320675e-05
1995,Meningitis,7.134589220460031e-05
1995,Neonatal disorders,0.0005002613953391855
1995,Neoplasms,0.0011146663648106353
1995,Nutritional deficiencies,0.00012588234500418582
1995,Parkinson's disease,2.9400372273348466e-05
1995,Poisonings,1.5729395885966852e-05
1995,Protein-energy malnutrition,0.00011160519332129728
1995,Road injuries ,0.0002024296460195718
1995,Self-harm,0.00014378331775291927
1995,Tuberculosis,0.0003026975159794123
1996,Acute hepatitis,2.6336282507980893e-05
1996,Alcohol use disorders,2.6842042962386275e-05
1996,Alzheimer's disease and other dementias,0.00011960136013860285
1996,Cardiovascular diseases,0.002268465254146308
1996,Chronic kidney disease,0.00012096773741511758
1996,Chronic respiratory diseases,0.0005738460091823941
1996,Cirrhosis and other chronic liver diseases,0.00019146123385319427
1996,Conflict and terrorism,1.4991522715714662e-05
1996,Diabetes mellitus,0.00013717387493562453
1996,Diarrheal diseases,0.00044898910091388235
1996,Digestive diseases,0.0003425836937039521
1996,Drowning,7.267018917446698e-05
1996,Drug use disorders,1.4026697952049274e-05
1996,Environmental heat and cold exposure,1.1605708838666835e-05
1996,Exposure to forces of nature,2.552150344599585e-06
1996,"Fire, heat, and hot substances",2.1769330841961914e-05
1996,HIV/AIDS,0.0001822488741302319
1996,Interpersonal violence,7.42800044429528e-05
1996,Lower respiratory infections,0.000530693620757945
1996,Malaria,0.00014978406592592948
1996,Maternal disorders,4.9399371253676326e-05
1996,Meningitis,7.163377510004563e-05
1996,Neonatal disorders,0.00048774157939740986
1996,Neoplasms,0.0011142872785624312
1996,Nutritional deficiencies,0.00011536299825864358
1996,Parkinson's disease,2.98412402259511e-05
1996,Poisonings,1.5255390271186852e-05
1996,Protein-energy malnutrition,0.00010194626870255572
1996,Road injuries ,0.00019962756558949946
1996,Self-harm,0.00014079711810949607
1996,Tuberculosis,0.0002954394715775905
1997,Acute hepatitis,2.5724101972026912e-05
1997,Alcohol use disorders,2.6321387772446515e-05
1997,Alzheimer's disease and other dementias,0.00012147949833983574
1997,Cardiovascular diseases,0.0022590683423842064
1997,Chronic kidney disease,0.00012380056416930868
1997,Chronic respiratory diseases,0.0005727088529732498
1997,Cirrhosis and other chronic liver diseases,0.00019118598577071695
1997,Conflict and terrorism,1.6809861187142416e-05
1997,Diabetes mellitus,0.0001401740189182086
1997,Diarrheal diseases,0.00043674970399738415
1997,Digestive diseases,0.0003411758472887899
1997,Drowning,7.000877128507712e-05
1997,Drug use disorders,1.3983295467039315e-05
1997,Environmental heat and cold exposure,1.080821424445151e-05
1997,Exposure to forces of nature,3.023177235353217e-06
1997,"Fire, heat, and hot substances",2.138408482057989e-05
1997,HIV/AIDS,0.00019883910170283002
1997,Interpersonal violence,7.236455318744092e-05
1997,Lower respiratory infections,0.0005161128481329229
1997,Malaria,0.00015121745572483272
1997,Maternal disorders,4.902028034875587e-05
1997,Meningitis,6.788990541185622e-05
1997,Neonatal disorders,0.00047713889123868723
1997,Neoplasms,0.0011153298782854417
1997,Nutritional deficiencies,0.00010968280742482872
1997,Parkinson's disease,3.037182207197476e-05
1997,Poisonings,1.4795990266079203e-05
1997,Protein-energy malnutrition,9.692930767161055e-05
1997,Road injuries ,0.00019810142749057376
1997,Self-harm,0.00013931289096381856
1997,Tuberculosis,0.00029229883424572017
1998,Acute hepatitis,2.4990501168369215e-05
1998,Alcohol use disorders,2.61131797543181e-05
1998,Alzheimer's disease and other dementias,0.0001234408414323983
1998,Cardiovascular diseases,0.0022492819519700016
1998,Chronic kidney disease,0.00012676810719843495
1998,Chronic respiratory diseases,0.0005683447137802895
1998,Cirrhosis and other chronic liver diseases,0.00019073488762731406
1998,Conflict and terrorism,1.818642396961576e-05
1998,Diabetes mellitus,0.00014276431373917467
1998,Diarrheal diseases,0.0004251750393848397
1998,Digestive diseases,0.000339293218727162
1998,Drowning,6.803993653688269e-05
1998,Drug use disorders,1.421719792270168e-05
1998,Environmental heat and cold exposure,1.0837131675468468e-05
1998,Exposure to forces of nature,8.042716335178378e-06
1998,"Fire, heat, and hot substances",2.0843825403003325e-05
1998,HIV/AIDS,0.00021782721554559412
1998,Interpersonal violence,7.218026287729456e-05
