document,frequency_in_document,element,element_orig,anomaly
1990,3.122503944268093e-05,0,Acute hepatitis,1
1990,2.184812309946096e-05,1,Alcohol use disorders,1
1990,0.0001052359084073,2,Alzheimer's disease and other dementias,1
1990,0.0022642492623054,3,Cardiovascular diseases,-1
1990,0.0001128025034242,4,Chronic kidney disease,1
1990,0.0005805565714319,5,Chronic respiratory diseases,1
1990,0.0001900467594529,6,Cirrhosis and other chronic liver diseases,1
1990,2.1828600762470287e-05,7,Conflict and terrorism,1
1990,0.0001240954245141,8,Diabetes mellitus,1
1990,0.0005434262127643,9,Diarrheal diseases,1
1990,0.0003480967840076,10,Digestive diseases,1
1990,8.643514702618603e-05,11,Drowning,1
1990,1.0536993675934718e-05,12,Drug use disorders,1
1990,1.0337828295674146e-05,13,Environmental heat and cold exposure,1
1990,9.42628533003292e-06,14,Exposure to forces of nature,1
1990,2.3112006704828e-05,15,"Fire, heat, and hot substances",1
1990,6.308324083410731e-05,16,HIV/AIDS,1
1990,6.992319194243413e-05,17,Interpersonal violence,1
1990,0.0006228871926154,18,Lower respiratory infections,1
1990,0.0001577361654446,19,Malaria,1
1990,5.676851567674098e-05,20,Maternal disorders,1
1990,8.114027626180339e-05,21,Meningitis,1
1990,0.0005640042576707,22,Neonatal disorders,1
1990,0.0010798472854151,23,Neoplasms,-1
1990,0.000142064046281,24,Nutritional deficiencies,1
1990,2.76233559826813e-05,25,Parkinson's disease,1
1990,1.6509702506406827e-05,26,Poisonings,1
1990,0.0001231362019947,27,Protein-energy malnutrition,1
1990,0.0002088833743567,28,Road injuries ,1
1990,0.0001386844294043,29,Self-harm,1
1990,0.0003335179157155,30,Tuberculosis,-1
1991,3.052588926200747e-05,0,Acute hepatitis,1
1991,2.262125090776732e-05,1,Alcohol use disorders,1
1991,0.0001077086856976,2,Alzheimer's disease and other dementias,1
1991,0.0022570426140667,3,Cardiovascular diseases,-1
1991,0.0001133277055736,4,Chronic kidney disease,1
1991,0.0005814775941631,5,Chronic respiratory diseases,1
1991,0.0001896592361049,6,Cirrhosis and other chronic liver diseases,1
1991,1.5702337468162887e-05,7,Conflict and terrorism,1
1991,0.0001255252433453,8,Diabetes mellitus,1
1991,0.0005361894723262,9,Diarrheal diseases,1
1991,0.0003467703415968,10,Digestive diseases,1
1991,8.39214461472001e-05,11,Drowning,1
1991,1.143086283807475e-05,12,Drug use disorders,1
1991,1.046453104992146e-05,13,Environmental heat and cold exposure,1
1991,2.8914597495981228e-05,14,Exposure to forces of nature,1
1991,2.2891461803422564e-05,15,"Fire, heat, and hot substances",1
1991,7.955337527758517e-05,16,HIV/AIDS,1
1991,7.086599339922545e-05,17,Interpersonal violence,1
1991,0.0006063475242606,18,Lower respiratory infections,1
1991,0.0001586512891274,19,Malaria,1
1991,5.508959265754393e-05,20,Maternal disorders,1
1991,7.916477396216574e-05,21,Meningitis,1
1991,0.0005494879855928,22,Neonatal disorders,1
1991,0.0010837922613285,23,Neoplasms,-1
1991,0.000134670487705,24,Nutritional deficiencies,1
1991,2.7866075790830955e-05,25,Parkinson's disease,1
1991,1.6218748721923703e-05,26,Poisonings,1
1991,0.000116545856391,27,Protein-energy malnutrition,1
1991,0.0002063103591991,28,Road injuries ,1
1991,0.0001389979253573,29,Self-harm,1
1991,0.0003299396935602,30,Tuberculosis,1
1992,2.9767118940722856e-05,0,Acute hepatitis,1
1992,2.3943793430939996e-05,1,Alcohol use disorders,1
1992,0.0001101841854482,2,Alzheimer's disease and other dementias,1
1992,0.0022618949597415,3,Cardiovascular diseases,-1
1992,0.000114597052128,4,Chronic kidney disease,1
1992,0.0005833538424673,5,Chronic respiratory diseases,1
1992,0.0001896650680908,6,Cirrhosis and other chronic liver diseases,1
1992,1.1286398448368426e-05,7,Conflict and terrorism,1
1992,0.0001277074451696,8,Diabetes mellitus,1
1992,0.0005222496598877,9,Diarrheal diseases,1
1992,0.0003462059942907,10,Digestive diseases,1
1992,8.129887605713219e-05,11,Drowning,1
1992,1.2152568562761525e-05,12,Drug use disorders,1
1992,1.0897776669141458e-05,13,Environmental heat and cold exposure,1
1992,2.1877023884419407e-06,14,Exposure to forces of nature,1
1992,2.273082793377393e-05,15,"Fire, heat, and hot substances",1
1992,9.821383449092592e-05,16,HIV/AIDS,1
1992,7.404654261980346e-05,17,Interpersonal violence,1
1992,0.0005926240267527,18,Lower respiratory infections,1
1992,0.0001557424057354,19,Malaria,1
1992,5.442887155949068e-05,20,Maternal disorders,1
1992,7.754977610367258e-05,21,Meningitis,1
1992,0.0005365373750624,22,Neonatal disorders,1
1992,0.001090413791848,23,Neoplasms,-1
1992,0.0001274184793262,24,Nutritional deficiencies,1
1992,2.8166622787715575e-05,25,Parkinson's disease,1
1992,1.608224943656384e-05,26,Poisonings,1
1992,0.0001102061897698,27,Protein-energy malnutrition,1
1992,0.0002046885641354,28,Road injuries ,1
1992,0.0001400795113868,29,Self-harm,1
1992,0.0003287445648945,30,Tuberculosis,1
1993,2.900585337185828e-05,0,Acute hepatitis,1
