,HIV/AIDS,Diarrheal diseases,Nutritional deficiencies,Neonatal disorders,Neoplasms,Protein-energy malnutrition,Lower respiratory infections,Alzheimer's disease and other dementias,Exposure to forces of nature,Cardiovascular diseases,Tuberculosis,Chronic kidney disease,Conflict and terrorism,Diabetes mellitus,Drowning,Malaria,Meningitis,Parkinson's disease,Acute hepatitis,Maternal disorders,Self-harm,Cirrhosis and other chronic liver diseases,Digestive diseases,Road injuries ,Interpersonal violence,Environmental heat and cold exposure,Drug use disorders,"Fire, heat, and hot substances",Alcohol use disorders,Poisonings
1990,-0.003361638660231421,0.001394389100302408,0.0008186305721451952,0.0007761928234514314,-0.0006887669084986586,0.0006958659121977014,0.0009448597403750652,-0.0005591343317063692,2.850621254081153e-06,-0.00044396731838833303,0.00042940446533834293,-0.000349227369840946,1.2464047936868973e-05,-0.0003594478804673086,0.0002450540389961988,3.6690213866007616e-05,0.0001507175566685436,-9.301352767806761e-05,8.17609409913346e-05,7.850841504685303e-05,6.2855027145853714e-06,-3.5606536365038305e-05,-1.6804412414962787e-05,4.662873787904937e-06,-4.803286984439605e-07,2.02994087583891e-07,-3.0310553648108993e-05,8.877114797716082e-06,-2.231041772288018e-05,5.48808170110149e-06
1991,-0.0024000926750676384,0.0013178003156543976,0.000670448645717726,0.0006451043560452311,-0.0006292890965448952,0.0005649661775257572,0.0007871183760313439,-0.000499076216402257,0.0005341802514518317,-0.00043774820747086163,0.0004051796918673623,-0.0003335879537185989,-9.38203653128452e-06,-0.00032970178931990626,0.00021156004460134168,4.39167646860614e-05,0.00013003829315702715,-8.711454645169689e-05,7.315354232865389e-05,6.307308070594472e-05,8.09722261171903e-06,-3.422148879766139e-05,-1.678104513464125e-05,2.4977466295610605e-06,-1.6006096975677369e-10,4.812243851295067e-07,-1.747618357776721e-05,8.123060129943413e-06,-1.4960069530763504e-05,4.3171303249443105e-06
1992,-0.001566375245970135,0.0011666138879590738,0.0005417579604619501,0.0005519764802135044,-0.0005350789366147845,0.00045391046425840176,0.0006846093426029903,-0.0004372292041452501,-0.00016815537709370516,-0.00036053991531051315,0.0004150626974833852,-0.00030207682354304265,-7.427994202464282e-05,-0.0002857113891809725,0.0001813472175554319,3.5007185480696434e-05,0.00011697066843886815,-7.930796795081285e-05,6.514114993819853e-05,6.002353393580527e-05,1.32383773163135e-05,-2.945065570651229e-05,-1.3470295438538127e-05,2.206363000436417e-06,4.038176739072885e-06,2.0124995499147267e-06,-9.523166472730766e-06,8.051873457999133e-06,-5.898107851758791e-06,4.1637755210882865e-06
1993,-0.0009188617119144978,0.0008809537391512978,0.00041688642930197525,0.0004317004670526944,-0.0004524494272062068,0.0003500866702835549,0.0005381097002664058,-0.0003925245089902241,-7.464687081642333e-05,-0.0002604757934482416,0.0003040286658841447,-0.0002838203006907019,-7.577042521529067e-05,-0.000250851329658031,0.0001594759205820307,2.8736163807383365e-05,9.220636692927977e-05,-7.153968213404019e-05,5.442349184309447e-05,4.2525162915258504e-05,1.832871334884155e-05,-2.4535581395919263e-05,-1.195485441841471e-05,1.209818225072042e-06,1.4874969260723827e-05,8.379544663715871e-06,-4.862803144895379e-06,8.51563971600243e-06,-5.16911433283609e-07,4.298666197591062e-06
1994,-0.0004650889603026267,0.0006354374388793434,0.00030384383739355254,0.0003031535875511089,-0.0004599566175433247,0.0002571638087200607,0.000374573232519629,-0.00036627778462844113,-0.00016517650680937767,-0.0002940100060460837,0.00021403767466780322,-0.0002740354959238139,0.002730702254367201,-0.00023486776275109963,0.00013273584081221394,1.3296812542212052e-05,6.455683893862735e-05,-6.999617812040667e-05,4.149860900526332e-05,3.2845400288689065e-05,2.358647535423929e-05,-2.570845017459318e-05,-1.6893762102067138e-05,3.402582570749866e-07,1.4560093633225355e-05,1.475138080797071e-05,-1.956319397615506e-06,7.827601564318803e-06,1.3975471940438675e-07,3.3887788926543555e-06
1995,-0.00015146559703340138,0.0005143238659756286,0.0005261238194724913,0.00027497823380386727,-0.00035268159216348804,0.0004933959760414527,0.0003245963061046793,-0.0003028150774109246,-9.559482431955191e-05,-0.0002353278213125965,0.0001940151867692503,-0.00022971653893111396,-6.326230649197472e-05,-0.00018852812577340458,0.00012007946938696814,1.6993592869286357e-05,5.8571235974068294e-05,-5.892332137670634e-05,3.71162847480214e-05,2.9539679894253503e-05,2.9499219192434816e-05,-1.7343975760120774e-05,-1.130239531942068e-05,1.2615146111467598e-06,1.6275717304030358e-05,1.5360547897454513e-05,-4.44919243092874e-07,6.819107730841626e-06,6.881764220375666e-07,2.993763813095241e-06
1996,-2.3162642341607062e-05,0.0004056768444948471,0.0003600798343435202,0.00022657328068921047,-0.00029295909399619773,0.00033590986200222775,0.0002446460918013151,-0.00025341498632215544,-0.00013900035509673619,-0.0002129994512939182,0.00016452578485286824,-0.00018914735478687216,-1.2209460219232492e-05,-0.00014658272533253874,9.025755063724419e-05,2.1176129503629963e-05,6.805115769335172e-05,-4.9179830243611326e-05,2.9377651839439142e-05,2.5052427315185965e-05,2.3585715802555154e-05,-1.387880526748837e-05,-9.845855508078087e-06,8.360813640263191e-07,7.9221123238686e-06,7.195545024760202e-06,-1.1882547561100363e-07,5.025142182585828e-06,4.838770842203175e-07,1.8522395224695076e-06
1997,1.7486336420189112e-06,0.0003233863753124835,0.0002802417508599726,0.00017931082854760663,-0.0002558441555187115,0.0002633593303580594,0.00017606762221306213,-0.00021863089632907697,-0.00010920066196259617,-0.00020024805859403163,0.00015506479291308708,-0.00014914039496836127,-1.4484993087579583e-06,-0.00011132259980561367,6.798862789536217e-05,3.042691232744109e-05,4.040678560497728e-05,-4.0870648042445586e-05,2.4970655416131253e-05,2.4520635551519062e-05,2.1188162862610226e-05,-1.1679605937849817e-05,-8.776360313551617e-06,6.543239056261137e-07,3.988725942011083e-06,2.7034151086778165e-06,-8.470443576523784e-08,3.926238520317622e-06,1.325831692896273e-07,8.256425000297349e-07
1998,6.33725717723427e-05,0.0002501524925034473,0.0002021080137295545,0.0001352667640513697,-0.0002108570394887023,0.00019476171411229892,0.00011352393531071075,-0.0001870171057930948,-1.3436319464214906e-12,-0.00019594783918301054,0.00013658349370289044,-0.00011401785378420382,2.2173491891590156e-07,-8.510658958812674e-05,5.347327675062942e-05,3.104810641068375e-05,2.796235418911871e-05,-3.341780513399327e-05,1.9552237182756554e-05,2.164974970679138e-05,2.1346897852245346e-05,-1.0512394085639728e-05,-9.049741591836565e-06,4.956809834867241e-07,4.398958668249352e-06,3.115559708399853e-06,9.3946547527054e-09,2.339141106123157e-06,8.551735982152819e-08,3.71417734705507e-07
1999,0.000202668393831222,0.00016268705532268947,0.00013186352474249693,8.738009652460815e-05,-0.00016514579121108298,0.00013322843875831624,5.747564225943506e-05,-0.00016155154777045553,2.7962346185069517e-05,-0.0001555833356696422,0.00010904118380399312,-8.977282550624399e-05,3.556748242185807e-05,-6.844253547086886e-05,3.425896810615547e-05,1.8985155868767012e-05,2.0179774035976262e-05,-2.7008038718304736e-05,1.384172006014449e-05,1.754731143304019e-05,2.1767987144663873e-05,-9.488994527660354e-06,-9.489006847824503e-06,7.436068520293648e-07,5.768811840491144e-06,1.4653079617531586e-06,1.1930673217676236e-07,2.1430760167867336e-06,4.340874320160639e-07,2.7147903806797296e-07
